Twitter handle
markGreenbergCT
MCoreymatthew79
repjoecourtney
repEsty
loriforcongress
repjohnlarson
jahimes
John_Carney
realRoseIzzo
john_krause
Rep_Southerland
VoteRay2014
AnderCrenshaw
Nugent4Congress
WebsterCongress
RepDennisRoss
RosLehtinenCamp
TedforCongress
NRIII
RepRivera
RonDeSantisFL
webronson
congjeffmiller
RepCorrineBrown
TedYoho
micaforcongress
RepLoisFrankel
JoeKaufmanUSA
PatrickMurphyFL
Wagie4Congress
alcee4congress
MarioDBCamp
MarkWichernFL
GwenForCongress
jakeforcongress
WheelerCampaign
RymanShoaf
thuylowe
GloForCongress
DavidCox2014
SmithForFL7
WesNeuman
DonOhmy
gabeisgreat
platt4congress
Mike_McKenna1
BonillaCongress
vivaldicongress
shayan4congress
BillFerree
DaveKoller2014
lucas_overby
DavidJollyCD13
CohnForCongress
Schlesinger4FL
Carl_Domino
CalvinTurnquest
Hires4Congress
NickWukoson
BrianLara4US
April4Congress
ClawsonOutsider
DWStweets
None
JayBonner_us
mcclinecongress
Morel4Congress
AndreaMcGee2014
spain22congress
JuanElielGarcia
MikeAEtienne
LuisforCongress
MayorMacDougall
carloslcurbelo
PalomaresLarry
JoeMartinez4026
AlanGrayson
Bilirakis
USRepKCastor
Vern2014
None
Jim4FLCD1
congbillposey
Rooney4Congress
JoeGarcia
jodyhice
ScottForGA
RepTomGraves
SanfordBishop
BobMontigel
Douglas_Collins
rickallen
Electdavidscott
Carter4Congress
DrBob4Congress
amy4congress
Brian4Georgia
wight_thomas
TomPriceMD
WestmorelandGA3
Vogel4Congress
MikeCollinsGA
DiousCongress
bobbarrcongress
Loudermilk2014
Barrow4GA
ReElectHank
electjohnlewis
Djou4Hawaii
TulsiGabbard
stanleypchang
ikaikaanderson
Espero2014
MarkTakai
KathrynXian
DonnaMercadoKim
joeymanahan
AllanLevene
LibertyPartyHI
BlumforCongress
SteveKingIA
PatMurphy4Iowa
AppelforIowa
YoungForIowa
jimmowrer
daveloebsack
millermeeks
Raul_Labrador
StallingsforID
MikeSimpson4ID
QuigleyCampaign
SusanneAtanus
ROBERTDOLD
RandyHultgren
BobbySchilling
RepBobbyRush
Tillman2014
Robin42CD
LuisGutierrez
Schneider4IL10
ElectRodneyIL
DennisIL14
cheribustos
RepShimkus
Olsen4Congress
EricMWallace1
RepLipinski
votebrannigan
DannyKDavis
LarryKaifesh
DarleneSenger
BostForCongress
callis4illinois
EricforIllinois
PeterRoskam
Tammy4Congress
RepSchakowsky
Foster4Congress
aaronschock
RepLukeMesser
jackiewalorski
MarlinStutzman
ToddRokita
RepLarryBucshon
ToddYoungIN
JustinKuhnle
SusanWBrooks
RepVisclosky
JoeBock_IN
electjohndale
Denney4Congress
Andre4Congress
CatPing
RepKevinYoder
RepMikePompeo
AlanLaPolice
MargieforKS
ReggieMarselus
KultalaForKS
PerrySchuckman
RepToddTiahrt
TimHuelskamp
RepLynnJenkins
RepHalRogers
barrforcongress
ThomasMassieKY
TeamWhitfieldKY
ronleach4ky
DrMac_2014
JensenElis
RepJohnYarmuth
ppetsnek
RepGuthrie
SteveScalise
MayoCongress
JayForCongress
Dasherzach
PaulDietzel
DanClaitor
VoteMcCulloch
garretgraves
LenarWhitney
ReElectBoustany
CedricRichmond
FlemingforLA
MikeStopaMA
Richard_Tisei
joekennedy
dan4ma
McGovernMA
WBrownsberger
KClarkCongress
Spilka4Congress
PeterKoutoujian
RepTierney
sethmoulton
marisadefranco
RepRichardNeal
ntsongas
mikecapuano
TilghmanForMD
Call_Me_Dutch
WhipHoyer
DaveWallaceUS
JDelaneyforMD
ChrisVanHollen
Banach4Congress
NancyHoyt4MD
Chaffeecongress
dbongino
Corrogan
JohnSarbanes
repdonnaedwards
RepCummings
Harris4Congress
Misiuk4Congress
CainforCongress
BrucePoliquin
chelliepingree
CongressmanDan
billhuizenga
justinamash
dankildee
Cannon4Congress
Arcand4Congress
DeanVanderstelt
ellis4congress
_BobGoodrich_
PeterKonetchy
PaulMitchell4us
JohnMoolenaar
Schertzing33
Clem4Congress
Tim_Walberg
pambyrnes
SGrettenberger
MikeBishopMI
KennethDarga
UptonForAllOfUs
TomMcMillin
JimHagedornMN
BettyMcCollum04
Obermueller
SharonSundMN
USRepRickNolan
AMforCongress
Roberts4MN
sharna4us
DaggettCongress
tomemmer
rhonda4congress
JoePerske
JohnDenney
TorreyWestrom
StewartMillsMN
RepTimWalz
EllisonCampaign
Erik_Paulsen
repjohnkline
LacyClayMO1
Baker4Congress
Lieber4Congress
VickyHartzler
SmallBizGOP
USRepLong
RepAnnWagner
michaelcburris
ElectHedge
JEvans4Congress
EricHolmes05
KoehrForCongress
NateIrvin2014
Vote4Cleaver
Bill4Congress
tharp4congress
genforcongress
RepJasonSmith
StockerCongress
JacobTurk
RepBlainePress
RepAlanNunnelee
StevenPalazzo
BedwellforCongr
mattmoore4ms
Dickey4MS
BennieGThompson
BOONCK
LibertarianJoey
HarperCampaign
mtforlewis
RyanZinke
Renee4Congress
WalterJones2014
DavidRouzer
RichHudson
reppittenger
VoteMeadows
GeorgeHolding
GKButterfield
ARTHURRICH2014
ClayForNC
Paul4congress
foxxforcongress
JoshForUSHouse
GMHenley
Walker4NC
laurafornc
philbergerjr
jbforcongress
McHenryCampaign
TateMacQueenNC
AlmaforCongress
votevince
Cleary4Congress
DPrice4Congress
Marshall1952
kevincramer
SinnerforND
MarkForNE
JeffFortenberry
DennisPCrawford
BradAshford14
RepAdrianSmith
LEETERRYNE
Guinta4Congress
AnnMcLaneKuster
daninnis
GaryLambertNH
MarilindaGarcia
JimLawrenceNH
TeamSheaPorter
LoBiondo2014
RepBillEnyart
DonaldPayneJr
DonNorcross4NJ
GCobb4Congress
Hughes4SJersey
aimeebelgard
tmac4congress
ChoForCongress
wilkinsonfornj
janicekovach
MarkDunec
alietaeck
BillPascrell
LeonardLanceNJ7
RepSires
pallonefornj
RepGarrett
pearce4nm
jbyrd4congress
michelle4nm
repbenraylujan
Heck4Nevada
MarkAmodeiNV2
StevenHorsford
AnnetteTeijeiro
KristenSpees
erinbilbray
CresentHardy
dinatitus
israel4congress
Grimm4Congress
RepJoseSerrano
NanHayworth
ChrisGibsonNY
TomReedCongress
NydiaVelazquez
TimBishop2014
RepPeteKing
RepGraceMeng
TeamJeffries
CarolynBMaloney
RepSeanMaloney
Lally2014
KathleenRice
Bruce_Blakeman
JLFNY7
YvetteClarke
NickforNewYork
ChrisDayNY
SeanEldridge
jimforcongress
EliseStefanik
WoolfforNY
MarthaforNY
John_Katko
KWeppner
Higgins4WNY
markassini
louiseslaughter
Rangel4Congress
DanMaffeiNY
LeeZeldin
Maher4Congress
GregoryMeeks
repjoecrowley
DomenicRecchia
Engel4Congress
Lowey4Congress
RepPaulTonko
Hanna4Congress
collinsNY27
JohnsonLeads
johnboehner
JimRenacciOH16
Bob_Gibbs
bradwenstrup
FredKundrata
RepMikeTurner
JoyceBeatty
Marcy_Kaptur
DaveJoyceOH14
Wharton4USRep
TimRyan
Marek4OH
fry4five
GarrisonForOhio
Poetter4House
davidtibbst4c
MichaelWager14
Jim_Jordan
SteveChabot
latta4congress
mlfudge
stevestivers
guild4congress
Bridenstine4OK
MarkwayneMullin
ColeForCongress
PatriceForOK
SteveRussellOK
FrankDLucas
ArtRobinson2012
SuzanneBonamici
Yates4Congress
aelea4congress
SmithTootie
votegregwalden
repblumenauer
RepPeterDeFazio
RepSchrader
KRPA12
RyanACostello
MananTrivedi
PatMeehanPA
RepTomMarino
Adcock4Congress
chakafattah
RepScottPerry
RepBillShuster
AlannaHartzokD9
loubarletta
CartwrightPA
RepTimMurphy
Megan4Congress
LaValleeForPA
me4congress
Fitzpatrickpa8
StrouseForPA
Brion4Congress
AndyOstrowski
ErinforPA
Boyle4PA
DentforCongress
USRepMikeDoyle
JoePitts4PA
bradybunchpa
GT_TeamGT
davidcicilline
jimlangevin
matthewfecteau
StanTranRI
CormickLynch
ReisforCongress
Duncan4Congress
tgowdy
MickMulvaney
Clyburn
CongJoeWilson
TomRiceSC7
gloria4congress
MarkSanford
BarbaraJoMullis
adams4SC5
KristiNoem
CorinnaforSD
chuck4congress
tndesjarlais
Ries4Congress
RepDianeBlack
westonwamp
MaryMHeadrick
CoopForCongress
VoteMarsha
Credo4Congress
JZforCongress
Fapas4Congress
LaneForTN
Lenda4Congress
clcarter4congr
JerryLoweryTN
CramerTN7th
Brimm4Congress
DrPhilRoe
RepRalphHall
Cozad4Congress
johnculberson
MGforCongress
Flores4Congress
WillHurd
Elect_Blake
Vote4McKellar
SamJohnsonTX03
PeteSessions
RepHensarling
Cargas7
Cadien4Congress
WeberforTexas
BetoForCongress
roenforcongress
seanseibertTX18
RepCuellar
petegallego
michaelcburgess
FilemonVela
RepGeneGreen
RepJohnCarter
RogerWilliamsTX
RepVeasey
Castro4Congress
susannarvaiz
MKCforCongress
JudgeTedPoe
NikoLetsos
replouiegohmert
RatcliffeTX4
Barton4Congress
RepAlGreenTX
LloydDoggettTX
BenStreusand
McCaulforTexas
MacThornberry
DonBrown4TX14
JacksonLee18
ConawayTX11
NealMarchbanks
RepKenMarchant
Wesley4Congress
Quico_Canseco
Minor2014
Babin4Congress
RepKevinBrady
RepKayGranger
Ruben_Hinojosa
zamora_eddie
LamarSmithTX21
MontoyaTX25
PeteOlson
donnamcaleer
RepChrisStewart
MiaBLove
scottrigell
roberthurt
repmgriffth
reprandyforbes
bobgoodlatte6
suzanne_patrick
gaughan2014
davebratva7th
trammell4VA
micah4congress
donbeyerva
jcarsonVA8
reelectwittman
PeterWelch
larsenrick
DennyHeck
JaimeLHerrera
suzandelbene
mikelapointe99
Pedro4Congress
SutherlandUSA
bobforcongress
gavinseim
clintdidier
cicotte2014
janea4congress
estakiobeltran
TeamCMR
DaveW4Congress
TeamReichert
Ritchie4wa8
MGforCongress
VoteJoyce2014
michaeldelavar
RepJimMcDermott
michael_krsiean
duffy4congress
donraihala
reidribble
robzerban
markpocan
armkaleka
vanforenwi
kurtzcongress
gwen4congress
electdavidvidking
rockwood4wi
grothmanforWI
dueyforcongress
joeleibham
harris4wi
WESTLUND4WI
kindforcongress
Pryan
jimpressoffice
repmckinley
nickcaseyforwv
mooneyforwv
evanjenkinswv
richardgrayson
senteney4wyo
lummisforwyo
